date;heure;ville;temperature;humidite;pluie_1h;pluie_24h
05/01/2026;04:07;Varanges;-8.7;93;0;0
05/01/2026;04:07;Genlis;-9.3;93;0;0
05/01/2026;05:07;Varanges;-8.9;93;0;0
05/01/2026;05:07;Genlis;-9.6;93;0;0
05/01/2026;05:51;Varanges;-9.7;92;0;0
05/01/2026;05:51;Genlis;-10;92;0;0
05/01/2026;06:47;Varanges;-9;94;0;0
05/01/2026;06:47;Genlis;-8.6;97;0;0
05/01/2026;07:32;Varanges;-6.6;95;0;0
05/01/2026;07:32;Genlis;-6.4;97;0;0
05/01/2026;07:57;Varanges;-6.1;95;0;0
05/01/2026;07:57;Genlis;-6.1;97;0;0
05/01/2026;08:46;Varanges;-5.7;95;0;0
05/01/2026;08:46;Genlis;-5.7;97;0;0
05/01/2026;09:38;Varanges;-5.1;95;0;0
05/01/2026;09:38;Genlis;-5;97;0;0
05/01/2026;09:59;Varanges;-5;95;0;0
05/01/2026;09:59;Genlis;-4.9;97;0;0
05/01/2026;10:37;Varanges;-4.8;95;0;0
05/01/2026;10:37;Genlis;-4.2;97;0;0
05/01/2026;10:58;Varanges;-4.7;95;0;0
05/01/2026;10:58;Genlis;-4.1;97;0;0
05/01/2026;11:28;Varanges;-4.3;96;0;0
05/01/2026;11:28;Genlis;-3.8;97;0;0
05/01/2026;11:45;Varanges;-4;96;0;0
05/01/2026;11:45;Genlis;-3.6;97;0;0
05/01/2026;12:57;Varanges;-3.8;95;0;0
05/01/2026;12:57;Genlis;-3.2;97;0;0
05/01/2026;13:47;Varanges;-3.8;95;0;0
05/01/2026;13:47;Genlis;-3;97;0;0
05/01/2026;14:29;Varanges;-3.9;95;0;0
05/01/2026;14:29;Genlis;-3;97;0;0
05/01/2026;14:54;Varanges;-3.8;96;0;0
05/01/2026;14:54;Genlis;-3.3;97;0;0
05/01/2026;15:29;Varanges;-3.9;95;0;0
05/01/2026;15:29;Genlis;-3.6;97;0;0
05/01/2026;15:50;Varanges;-4.1;95;0;0
05/01/2026;15:50;Genlis;-3.9;97;0;0
05/01/2026;16:33;Varanges;-4.5;95;0;0
05/01/2026;16:33;Genlis;-4.4;97;0;0
05/01/2026;17:01;Varanges;-4.7;95;0;0
05/01/2026;17:01;Genlis;-4.6;97;0;0
05/01/2026;17:40;Varanges;-5;95;0;0
05/01/2026;17:40;Genlis;-4.9;97;0;0
05/01/2026;17:55;Varanges;-5.1;95;0;0
05/01/2026;17:55;Genlis;-5;97;0;0
05/01/2026;18:41;Varanges;-5.3;95;0;0
05/01/2026;18:41;Genlis;-5.1;97;0;0
05/01/2026;19:01;Varanges;-5.5;95;0;0
05/01/2026;19:01;Genlis;-5.2;97;0;0
05/01/2026;19:32;Varanges;-5.5;95;0;0
05/01/2026;19:32;Genlis;-5.2;97;0;0
05/01/2026;19:52;Varanges;-5.6;95;0;0
05/01/2026;19:52;Genlis;-5.2;97;0;0
